,Value
2492,9
2493,6
2494,5
2495,8
2496,7
2497,5
2498,6
2499,5
2500,6
2501,9
2502,13
2503,5
2504,10
2505,10
2506,11
2507,10
2508,8
2509,11
2510,10
2511,14
2512,15
2513,17
2514,7
2515,9
2516,8
2517,8
2518,13
2519,13
2520,17
2521,17
2522,19
2523,10
2524,14
2525,12
2526,8
2527,6
2528,5
2529,12
2530,8
2531,11
2532,10
2533,10
2534,12
2535,11
2536,12
2537,12
2538,13
2539,9
2540,6
2541,7
2542,6
2543,19
2544,21
2545,14
2546,17
2547,15
2548,13
2549,18
2550,20
2551,15
2552,16
2553,10
2554,10
2555,16
2556,8
2557,9
2558,12
2559,9
2560,13
2561,4
2562,13
2563,9
2564,15
2565,14
2566,18
2567,15
2568,14
2569,17
2570,17
2571,20
2572,14
2573,18
2574,16
2575,21
2576,18
2577,17
2578,19
2579,17
2580,8
2581,7
2582,8
2583,17
2584,15
2585,15
2586,14
2587,10
2588,12
2589,12
2590,9
2591,9
2592,15
2593,14
2594,16
2595,15
2596,8
2597,11
2598,13
2599,13
2600,16
2601,18
2602,15
2603,22
2604,18
2605,18
2606,19
2607,20
2608,14
2609,14
2610,17
2611,18
2612,14
2613,13
2614,13
2615,15
2616,10
2617,13
2618,11
2619,11
2620,20
2621,8
2622,10
2623,15
2624,21
2625,19
2626,16
2627,16
2628,14
2629,16
2630,19
2631,10
2632,18
2633,16
2634,15
2635,15
2636,15
2637,12
2638,11
2639,18
2640,15
2641,19
2642,19
2643,20
2644,20
2645,18
2646,22
2647,21
2648,10
2649,14
2650,14
2651,18
2652,18
2653,23
2654,20
2655,16
2656,15
2657,17
2658,16
2659,15
2660,12
2661,11
2662,13
2663,14
2664,10
2665,11
2666,13
2667,9
2668,9
2669,11
2670,11
2671,18
2672,21
2673,18
2674,21
2675,16
2676,14
2677,11
2678,17
2679,14
2680,14
2681,12
2682,13
2683,10
2684,10
2685,10
2686,10
2687,11
2688,15
2689,10
2690,9
2691,15
2692,19
2693,17
2694,18
2695,14
2696,14
2697,12
2698,13
2699,8
2700,11
2701,15
2702,3
2703,12
2704,11
2705,6
2706,9
2707,11
2708,11
2709,12
2710,14
2711,14
2712,9
2713,19
2714,15
2715,11
2716,11
2717,12
2718,13
2719,12
2720,9
2721,16
2722,12
2723,12
2724,12
2725,10
2726,8
2727,9
2728,10
2729,15
2730,11
2731,7
2732,7
2733,8
2734,8
2735,9
2736,10
2737,10
2738,9
2739,11
2740,12
2741,11
2742,12
2743,11
2744,13
2745,11
2746,7
2747,10
2748,11
2749,10
2750,11
2751,11
2752,14
2753,13
